ts,lat,lon,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2017-11-25 21:52,1.361,103.966,0.499,0.397,2,-9.279,1,0.0326,0.747,2.12e-05,0.112,0.208,147.963,4
2017-11-25 21:52,1.361,103.966,0.213,0.864,8,-5.71,1,0.401,0.0301,9.68e-05,0.0465,0.13,177.921,3
2017-11-25 21:52,1.361,103.966,0.415,0.369,8,-10.044,1,0.0741,0.0303,7.64e-06,0.383,0.0913,95.746,4
2017-11-25 21:52,1.361,103.966,0.314,0.331,11,-8.428,1,0.0319,0.403,0.000347,0.144,0.315,168.007,4
2017-11-25 21:52,1.361,103.966,0.49,0.461,6,-6.164,1,0.032,0.254,0.0,0.284,0.487,168.125,4
2017-11-25 21:52,1.361,103.966,0.292,0.181,2,-12.609,1,0.0367,0.967,4.47e-05,0.105,0.161,81.532,4
2017-11-25 21:52,1.361,103.966,0.663,0.432,2,-8.893,1,0.0664,0.759,2.12e-06,0.085,0.3,130.28,4
2017-11-25 21:52,1.361,103.966,0.497,0.89,5,-4.027,1,0.0887,0.0155,0.0,0.201,0.391,117.939,4
2017-11-25 21:52,1.361,103.966,0.29,0.48,5,-6.583,1,0.0296,0.116,3.03e-06,0.626,0.382,112.62,4
2017-11-25 21:52,1.361,103.966,0.661,0.351,0,-8.846,1,0.0274,0.843,0.0,0.104,0.291,109.9,4
2017-11-25 21:52,1.361,103.966,0.622,0.957,11,-3.176,0,0.131,0.00485,0.0,0.0863,0.517,114.471,4
2017-11-25 21:52,1.361,103.966,0.642,0.132,5,-22.377,1,0.089,0.993,0.611,0.0968,0.444,123.151,4
2017-11-25 21:52,1.361,103.966,0.679,0.126,11,-10.562,0,0.0369,0.858,0.000102,0.114,0.113,129.75,3
2017-11-25 21:52,1.361,103.966,0.571,0.875,6,-3.279,1,0.039,0.000247,5.47e-06,0.106,0.447,92.505,4
2017-11-25 21:52,1.361,103.966,0.444,0.449,8,-5.993,0,0.0295,0.803,7.46e-06,0.124,0.231,131.58,4
2017-11-25 21:52,1.361,103.966,0.651,0.719,0,-5.891,1,0.0412,0.0312,0.0,0.0925,0.628,97.996,4
2017-11-25 21:52,1.361,103.966,0.374,0.432,11,-8.395,1,0.0334,0.691,0.00649,0.109,0.295,124.012,4
2017-11-25 21:52,1.361,103.966,0.681,0.372,5,-8.237,1,0.0432,0.64,0.0,0.169,0.476,91.873,4
2017-11-25 21:52,1.361,103.966,0.574,0.51,7,-7.63,1,0.0334,0.414,0.000213,0.0995,0.123,121.989,4
2017-11-25 21:52,1.361,103.966,0.468,0.994,1,-1.018,1,0.153,0.00118,0.000734,0.329,0.372,95.972,4
2017-11-25 21:52,1.361,103.966,0.476,0.964,11,-1.48,1,0.0733,0.0139,0.0,0.326,0.346,94.558,4
